Image,Word,Writer
49748.png,a,
87159.png,a,
143234.png,abandon,
b06-068-07-07.png,abandon,b06-068-07
198180.png,abandoned,
55062.png,abandoned,
121066.png,abashed,
184752.png,abashed,
68138.png,ability,
105215.png,ability,
174572.png,able,
121465.png,able,
f01-058-08-00.png,abolish,f01-058-08
100176.png,abolish,
63469.png,abolished,
63471.png,abolished,
184336.png,abolition,
165657.png,abolition,
86048.png,about,
119730.png,about,
171997.png,above,
144313.png,above,
72519.png,abreast,
72520.png,abreast,
34933.png,abroad,
121944.png,abroad,
88669.png,absence,
a06-134-02-11.png,absence,a06-134-02
a02-090-00-11.png,absent,a02-090-00
190679.png,absent,
48716.png,absolutely,
187874.png,absolutely,
72572.png,abstraction,
c02-007-08-03.png,abstraction,c02-007-08
189052.png,abundance,
189050.png,abundance,
156408.png,academic,
156405.png,academic,
101896.png,accent,
101898.png,accent,
205158.png,accents,
c03-096a-06-06.png,accents,c03-096a-06
183356.png,accept,
116889.png,accept,
69192.png,acceptable,
69190.png,acceptable,
a04-103-08-01.png,accepted,a04-103-08
71995.png,accepted,
148094.png,accepting,
198305.png,accepting,
45406.png,accessories,
45405.png,accessories,
201985.png,accident,
201984.png,accident,
67617.png,accidental,
67616.png,accidental,
104847.png,accommodate,
104846.png,accommodate,
160453.png,accommodation,
e02-117-00-05.png,accommodation,e02-117-00
68816.png,accompanied,
68817.png,accompanied,
64529.png,accompanist,
64530.png,accompanist,
182857.png,accompany,
a02-017-04-02.png,accompany,a02-017-04
42258.png,accomplished,
42254.png,accomplished,
a03-034-02-06.png,accomplishments,a03-034-02
98068.png,accomplishments,
146156.png,according,
146158.png,according,
r03-084-00-08.png,account,r03-084-00
44427.png,account,
42094.png,accuracy,
42097.png,accuracy,
e01-081-02-00.png,accurate,e01-081-02
57967.png,accurate,
198785.png,accurately,
e04-099-00-06.png,accurately,e04-099-00
a06-057-03-00.png,accused,a06-057-03
179884.png,accused,
44980.png,achieved,
44979.png,achieved,
136594.png,achievement,
136597.png,achievement,
103229.png,acquaintance,
103231.png,acquaintance,
199292.png,acquaintances,
199290.png,acquaintances,
110722.png,acres,
110720.png,acres,
120174.png,across,
120176.png,across,
c04-044-05-01.png,act,c04-044-05
99712.png,act,
75742.png,acting,
75741.png,acting,
142874.png,action,
52026.png,action,
c03-096b-00-03.png,actions,c03-096b-00
133025.png,actions,
51237.png,active,
88599.png,active,
126565.png,activists,
126566.png,activists,
202954.png,activities,
202956.png,activities,
203167.png,activity,
153090.png,activity,
77197.png,actor,
77196.png,actor,
c02-059-07-02.png,actress,c02-059-07
181240.png,actress,
88284.png,acts,
188407.png,acts,
204561.png,actual,
204563.png,actual,
156014.png,actually,
167840.png,actually,
107791.png,adaptation,
107793.png,adaptation,
141846.png,adapted,
141848.png,adapted,
75887.png,adapting,
75884.png,adapting,
56281.png,add,
83661.png,add,
42935.png,added,
199601.png,added,
77919.png,adding,
183846.png,adding,
45198.png,addition,
164356.png,addition,
149958.png,additions,
149955.png,additions,
110169.png,address,
84429.png,address,
88213.png,addressed,
166979.png,addressed,
202690.png,addresses,
202693.png,addresses,
159689.png,adequate,
92058.png,adequate,
a01-132u-03-00.png,adjust,a01-132u-03
84452.png,adjust,
159905.png,adjustment,
95201.png,adjustment,
65616.png,administration,
a01-072u-08-03.png,administration,a01-072u-08
165666.png,administrative,
165667.png,administrative,
48447.png,admire,
48448.png,admire,
91586.png,admit,
b04-004-07-02.png,admit,b04-004-07
161635.png,admitted,
196293.png,admitted,
46822.png,admitting,
46821.png,admitting,
71251.png,adopted,
71250.png,adopted,
122060.png,adoption,
b03-114-04-01.png,adoption,b03-114-04
c06-091-03-11.png,adult,c06-091-03
190968.png,adult,
90501.png,advance,
b02-097-01-01.png,advance,b02-097-01
120604.png,advanced,
120605.png,advanced,
193350.png,advancing,
118188.png,advancing,
204979.png,advantage,
119997.png,advantage,
145063.png,advantages,
45824.png,advantages,
105442.png,advertisement,
b01-057-00-02.png,advertisement,b01-057-00
179002.png,advertisements,
e07-007-02-04.png,advertisements,e07-007-02
169971.png,advice,
169323.png,advice,
126723.png,advisability,
126722.png,advisability,
118393.png,advise,
g06-045a-02-00.png,advise,g06-045a-02
c04-017-01-10.png,advised,c04-017-01
79609.png,advised,
48604.png,advisers,
39639.png,advisers,
b02-013-01-00.png,advocate,b02-013-01
90213.png,advocate,
a04-006-09-01.png,affairs,a04-006-09
67632.png,affairs,
197643.png,affected,
197639.png,affected,
47138.png,affection,
47136.png,affection,
157085.png,affiliations,
157087.png,affiliations,
192505.png,affluence,
192506.png,affluence,
169024.png,affluent,
169028.png,affluent,
165411.png,afraid,
f03-174-04-09.png,afraid,f03-174-04
196155.png,after,
199952.png,after,
78838.png,afternoon,
78835.png,afternoon,
131812.png,afterwards,
186087.png,afterwards,
163168.png,again,
190523.png,again,
141262.png,against,
b04-075-01-02.png,against,b04-075-01
39422.png,age,
147277.png,age,
165965.png,aged,
151055.png,aged,
f02-076-00-08.png,ageing,f02-076-00
103250.png,ageing,
65191.png,agent,
65192.png,agent,
172659.png,agents,
172660.png,agents,
191542.png,ages,
177106.png,ages,
a02-057-06-02.png,agitation,a02-057-06
156028.png,agitation,
199886.png,ago,
b04-020-04-03.png,ago,b04-020-04
63112.png,agree,
g06-018a-04-02.png,agree,g06-018a-04
141375.png,agreed,
c04-128-01-06.png,agreed,c04-128-01
b06-093-04-04.png,agreement,b06-093-04
189215.png,agreement,
117602.png,agreements,
a04-103-07-04.png,agreements,a04-103-07
127947.png,agriculture,
b04-195-02-05.png,agriculture,b04-195-02
44439.png,ahead,
154794.png,ahead,
73084.png,aid,
115062.png,aid,
117798.png,aide,
134612.png,aide,
a06-134-05-10.png,aided,a06-134-05
194169.png,aided,
47940.png,aides,
47943.png,aides,
121574.png,aim,
97384.png,aim,
55507.png,aimed,
55506.png,aimed,
106141.png,aiming,
106143.png,aiming,
188643.png,air,
b06-004-07-00.png,air,b06-004-07
185575.png,aircraft,
185574.png,aircraft,
78920.png,aired,
78921.png,aired,
g05-098-02-08.png,airmen,g05-098-02
165057.png,airmen,
134546.png,airport,
134544.png,airport,
182730.png,akin,
182733.png,akin,
106293.png,alarmed,
132283.png,alarmed,
109552.png,alas,
109549.png,alas,
203919.png,alcoholic,
64257.png,alcoholic,
88854.png,alike,
204903.png,alike,
43633.png,alive,
43629.png,alive,
b04-054-04-00.png,all,b04-054-04
a01-107u-02-07.png,all,a01-107u-02
86181.png,alleged,
86180.png,alleged,
72834.png,alleviation,
g06-037m-06-01.png,alleviation,g06-037m-06
174869.png,alley,
174870.png,alley,
87655.png,alliance,
87657.png,alliance,
194830.png,alliances,
194833.png,alliances,
a04-019-07-03.png,allied,a04-019-07
a04-050-02-00.png,allied,a04-050-02
78512.png,allies,
b02-102-00-03.png,allies,b02-102-00
39143.png,allow,
39140.png,allow,
170992.png,allowance,
r02-006-08-04.png,allowance,r02-006-08
138878.png,allowances,
138874.png,allowances,
154098.png,allowed,
92219.png,allowed,
134658.png,allowing,
56516.png,allowing,
131868.png,ally,
131865.png,ally,
104969.png,almost,
99659.png,almost,
40013.png,alone,
145038.png,alone,
88769.png,along,
104006.png,along,
34980.png,already,
r02-000-03-06.png,already,r02-000-03
89134.png,also,
e04-132-02-00.png,also,e04-132-02
181641.png,alter,
b03-114-02-04.png,alter,b03-114-02
114954.png,alternative,
114957.png,alternative,
161256.png,alternatives,
161257.png,alternatives,
190116.png,although,
178688.png,although,
107914.png,altogether,
104025.png,altogether,
137512.png,altos,
137511.png,altos,
131262.png,always,
89149.png,always,
44872.png,am,
150050.png,am,
e07-105-00-01.png,amateur,e07-105-00
125026.png,amateur,
47286.png,amazed,
47288.png,amazed,
65393.png,amazing,
65390.png,amazing,
39014.png,ambassador,
b06-000-01-02.png,ambassador,b06-000-01
136561.png,amber,
136559.png,amber,
152646.png,ambition,
206081.png,ambition,
c04-008-06-06.png,ambitious,c04-008-06
39612.png,ambitious,
a01-113-02-03.png,ambulance,a01-113-02
a01-113u-03-02.png,ambulance,a01-113u-03
56359.png,ambulances,
56362.png,ambulances,
81003.png,ammunition,
a03-054-06-00.png,ammunition,a03-054-06
126403.png,among,
143698.png,among,
141546.png,amount,
135355.png,amount,
125794.png,ample,
a06-064-06-07.png,ample,a06-064-06
70128.png,amusement,
70125.png,amusement,
102832.png,amusing,
110769.png,amusing,
204406.png,an,
164801.png,an,
f01-075-04-02.png,analogy,f01-075-04
165047.png,analogy,
82103.png,analysed,
82099.png,analysed,
139522.png,anchor,
139521.png,anchor,
107399.png,ancient,
n02-146-06-01.png,ancient,n02-146-06
48667.png,and,
63623.png,and,
178750.png,anecdotal,
178751.png,anecdotal,
185271.png,angelo,
c02-000-06-00.png,angelo,c02-000-06
186598.png,anger,
a01-038-09-04.png,anger,a01-038-09
37169.png,angle,
103368.png,angle,
54370.png,angry,
151565.png,angry,
57075.png,announced,
57076.png,announced,
154680.png,announcement,
154682.png,announcement,
159258.png,announcing,
159255.png,announcing,
183786.png,annual,
51836.png,annual,
152055.png,another,
173385.png,another,
b04-026-00-06.png,answer,b04-026-00
110641.png,answer,
51171.png,answered,
c02-017-04-07.png,answered,c02-017-04
121119.png,antagonism,
121121.png,antagonism,
108838.png,anticipation,
108837.png,anticipation,
e07-101-01-08.png,any,e07-101-01
e04-086-03-04.png,any,e04-086-03
192519.png,anybody,
192522.png,anybody,
173321.png,anyone,
128800.png,anyone,
g06-011c-02-08.png,anything,g06-011c-02
157241.png,anything,
